Job field,User principal name,Department,TeamId,ChannelId,WebhookUrl
Incident Management,IncidentManagement@M365x62207154.onmicrosoft.com,IT Support,ec48d982-b8a4-42f5-95ab-7245fa3cf417,8kaVXOTrycJvtMoq61Tsr2Ln8CNcC4TeRWvHi_Ic0Yg1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/8e37f535ab0a47a7b00df1b2bb450827/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=u24wR3kpa2-ydPuo6ALMS0clA4rsRceloLxA2njuAiA
H.E.R.B.I.E,Support@M365x62207154.onmicrosoft.com,Bot,,,
Storage,Storage@M365x62207154.onmicrosoft.com,Infra & BI,6eff29a9-634b-4fbe-8d5c-16239ad0951b,5Gg-OoIupM1BNSsKsu3N3MwjpqKwQ-_rZ7q_LOhG3Ew1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/30ef441c083e45998c4bf76d3614e8de/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=LzV9TzcYwmp826P8cQN2Jw9YeZlpQBoFgbuZ4Bb4zSk
Service Requests,ServiceRequests@M365x62207154.onmicrosoft.com,IT Support,ec48d982-b8a4-42f5-95ab-7245fa3cf417,8kaVXOTrycJvtMoq61Tsr2Ln8CNcC4TeRWvHi_Ic0Yg1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/8e37f535ab0a47a7b00df1b2bb450827/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=u24wR3kpa2-ydPuo6ALMS0clA4rsRceloLxA2njuAiA
Application Support(TMA),ApplicationSupport@M365x62207154.onmicrosoft.com,Support et TMA,5ed960bd-fcf6-40a0-8b2b-14687e5bde4a,T_zIGCm2gqrVWXusZeyvgk5DpMI1QL2kzP6vaEuA1EU1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/36a88dac0b894dfb96017906e440d14c/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=yCnHBMZYJjMRWZu9F7ESS4mOrWK6an4Q0oCNr0JTCgE
Azure DevOps,AzureDevOps@M365x62207154.onmicrosoft.com,Technologies / AS Projets,e44a51b2-2f92-433d-8bd6-45fca65dc184,imlCnZMB_7M6nS2CpN5urDQw4nlO1GLF2GHR41HHfdg1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/ea0f664543164831a923863b09a8685b/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=OJvMtbDyl293dWTLAki4SBunvOcgOdFdfigkEqXJEBY
Backup / Restore,BackupRestore@M365x62207154.onmicrosoft.com,Infra & BI,6eff29a9-634b-4fbe-8d5c-16239ad0951b,5Gg-OoIupM1BNSsKsu3N3MwjpqKwQ-_rZ7q_LOhG3Ew1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/30ef441c083e45998c4bf76d3614e8de/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=LzV9TzcYwmp826P8cQN2Jw9YeZlpQBoFgbuZ4Bb4zSk
Monitoring / Observability,MonitoringObservability@M365x62207154.onmicrosoft.com,Infra & BI,6eff29a9-634b-4fbe-8d5c-16239ad0951b,5Gg-OoIupM1BNSsKsu3N3MwjpqKwQ-_rZ7q_LOhG3Ew1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/30ef441c083e45998c4bf76d3614e8de/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=LzV9TzcYwmp826P8cQN2Jw9YeZlpQBoFgbuZ4Bb4zSk
API Management,APIManagement@M365x62207154.OnMicrosoft.com,Technologies / Digital Consulting,6ec34b3d-1bb9-4551-a919-14e1082732dd,GclF07ugout3c-HrZ0jV-bGQqNpS3BxcW0zoAVttE041@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/9817251d9f2047c8affc850c5474b869/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=8aZJiMLrI4lgOvMFwXqu-QquNEQfJc3LfsUiDh6b6Ow
Linux / Unix,LinuxUnix@M365x62207154.onmicrosoft.com,Infra & BI,6eff29a9-634b-4fbe-8d5c-16239ad0951b,5Gg-OoIupM1BNSsKsu3N3MwjpqKwQ-_rZ7q_LOhG3Ew1@thread.tacv2,https://defaulte162936826114855bbe423dd541ec9.44.environment.api.powerplatform.com:443/powerautomate/automations/direct/workflows/30ef441c083e45998c4bf76d3614e8de/triggers/manual/paths/invoke?api-version=1&sp=%2Ftriggers%2Fmanual%2Frun&sv=1.0&sig=LzV9TzcYwmp826P8cQN2Jw9YeZlpQBoFgbuZ4Bb4zSk
